CdUF;CdMun;UF;Nome Caixa;Populacao;Despesas por Função;Legislativa;Ação Legislativa;Controle Externo;Demais Subfunções  1;Judiciária;Ação Judiciária;Defesa do Interesse Público;Demais Subfunções 2;Essencial à Justiça;Defesa da Ordem Jurídica;Representação Juridica;Demais Subfunções 3;Administração;Planejamento e Orçamento;Administração Geral;Administração Financeira;Controle Interno;Normatização e Fiscalização;Tecnologia da Informação;Ordenamento Territorial;Formação de Recursos Humanos;Administração de Receitas;Administração de Concessões;Comunicação Social;Demais Subfunções 4;Defesa Nacional;Defesa Aérea;Defesa Naval;Defesa Terrestre;Demais Subfunções 5;Segurança Pública;Policiamento;Defesa Civil;Informação e Inteligência;Demais Subfunções 6;Relações Exteriores;Relações Diplomáticas;Cooperação Internacional;Demais Subfunções 7;Assistência Social;Assistência ao Idoso;Assistência ao Deficiência;Assistência à Criança;Assistência Comunitária;Demais Subfunções 8;Previdência Social;Previdência Básica;Previdência do Regime Estatutário;Previdência Complementar;Previdência Especial;Demais Subfunções 9;Saúde;Atenção Básica;Assistência Hospitalar;Suporte Profilático;Vigilância Sanitária;Vigilância Epidemiológica;Alimentação e Nutrição;Demais Subfunções 10;Trabalho;Proteção ao Trabalhador;Relações de Trabalho;Empregabilidade;Fomento ao Trabalho;Demais Subfunções 11;Educação;Ensino Fundamental;Ensino Médio;Ensino Profissional;Ensino Superior;Educação Infantil;Educação de Jovens e Adultos;Educação Especial;Demais Subfunções 12;Cultura;Patrimônio Cultural;Difusão Cultural;Demais Subfunções 13;Direitos da Cidadania;Custódia e Reintegração Social;Direitos Humanos;Assistência Povos Indígenas;Demais Subfunções 14;Urbanismo;Infra-Estrutura Urbana;Serviços Urbanos;Transportes Coletivos Urbanos;Demais Subfunções 15;Habitação;Habitação Rural;Habitação Urbana;Demais Subfunções 16;Saneamento;Saneamento Básico Rural;Saneamento Básico Urbano;Demais Subfunções 17;Gestão Ambiental;Preservação Ambiental;Controle Ambiental;Recuperação Areas Degradadas;Recursos Hídricos;Meteorologia;Demais Subfunções 18;Ciência e Tecnologia;Desenvolvimento Científico;Desenvolvimento Tecnológico;Difusão do Conhecimento Científico;Demais Subfunções 19;Agricultura;Promoção da Produção Vegetal;Promoção da Produção Animal;Defesa Sanitária Vegetal;Defesa Sanitária Animal;Abastecimento;Extensão Rural;Irrigação;Demais Subfunções 20;Organização Agrária;Reforma Agrária;Colonização;Demais Subfunções 21;Indústria;Promoção Industrial;Produção Industrial;Mineração;Propriedade Industrial;Normalização e Qualidade;Demais Subfunções 22;Comércio e Serviços;Promoção Comercial;Comercialização;Comércio Exterior;Serviços Financeiros;Turismo;Demais Subfunções 23;Comunicações;Comunicações Postais;Telecomunicações;Demais Subfunções 24;Energia;Conservação de Energia;Energia Elétrica;Petróleo;Álcool;Demais Subfunções 25;Transporte;Transporte Aéreo;Transporte Rodoviário;Transporte Ferroviário;Transporte Hidroviário;Transportes Especiais;Demais Subfunções 26;Desporto e Lazer;Desporto de Rendimento;Desporto Comunitário;Lazer;Demais Subfunções 27;Encargos Especiais;Refinanciamento da Dívida Interna;Refinanciamento da Dívida Externa;Serviço da Dívida Interna;Serviço da Dívida Externa;Transferências;Outros Encargos Especiais;Demais Subfunções 28
11;1;RO;ALTA FLORESTA D'OESTE;24577;27756015,98;1044000;1044000;0;0;0;0;0;0;0;0;0;0;5593464,96;0;5580870,26;0;0;0;0;12594,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;526498,02;58984,95;0;113084,3;354428,77;0;0;0;0;0;0;0;7982311,23;2311096,15;5503939,18;0;3920;163355,9;0;0;0;0;0;0;0;0;8580643,14;8273629,47;0;0;29870;277143,67;0;0;0;0;0;0;0;0;0;0;0;0;2212053,15;1221147,35;990905,8;0;0;0;0;0;0;74157,72;0;74157,72;0;0;0;0;0;0;0;0;0;0;0;0;0;69446,89;16904,05;0;0;0;0;52542,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1171846,19;0;1171846,19;0;0;0;0;114065,7;0;0;114065,7;0;387528,98;0;0;0;0;0;387528,98;0
11;2;RO;ARIQUEMES;84581;104413250,9;3732000;3732000;0;0;0;0;0;0;0;0;0;0;10915775,85;0;10915775,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1443913,28;0;248,55;0;1443664,73;0;0;0;0;3607321,49;0;31184,88;828836,05;457885,04;2289415,52;0;0;0;0;0;0;23098183,97;10855999,11;2075950,95;0;157340,21;396837,79;0;9612055,91;0;0;0;0;0;0;34450894,9;24199643,01;0;0;74000;1088769,42;453142,73;0;8635339,74;573376,2;0;88000;485376,2;0;0;0;0;0;18973676,6;7395152,75;1181246,76;0;10397277,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4184404,95;0;0;0;0;0;81778,23;0;4102626,72;0;0;0;0;0;0;0;0;0;0;0;200000;0;0;0;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298051,42;0;42500;0;255551,42;2935652,23;0;0;0;0;0;2935652,23;0
11;3;RO;CABIXI;6777;9341748,95;386521,62;386521,62;0;0;0;0;0;0;0;0;0;0;1747141,93;132289,21;1062290,91;552561,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394223,03;11045,08;0;119591,46;263586,49;0;0;0;0;0;0;0;1792456,58;540654,69;1184468,21;0;0;67333,68;0;0;0;0;0;0;0;0;2545822,82;2290896,66;0;0;0;254926,16;0;0;0;3480;0;3480;0;0;0;0;0;0;58876,3;58876,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79806,49;0;79806,49;0;0;0;1858787,2;0;1858787,2;0;0;0;0;263379,05;0;263379,05;0;0;211253,93;0;0;211253,93;0;0;0;0
11;4;RO;CACOAL;78263;86105263,51;3549970,3;3300700,64;0;249269,66;0;0;0;0;0;0;0;0;19754277,63;45848,94;17219578,43;384487,76;0;18426,19;186577,34;8500;0;363200;0;0;1527658,97;0;0;0;0;0;10897,68;0;0;0;10897,68;0;0;0;0;2674677,64;16075,12;34239;438286,7;282590,03;1903486,79;0;0;0;0;0;0;21728889,46;2884647,97;3893167,55;0;0;541060,73;0;14410013,21;0;0;0;0;0;0;18835916,15;15058023,27;0;0;0;2735655,47;0;0;1042237,41;289107,07;0;200111,27;88995,8;0;0;0;0;0;1491629,19;1420594,19;71035;0;0;1323037,87;0;1323037,87;0;4799062,66;0;1000169,11;3798893,55;2063147,82;0;0;0;0;0;2063147,82;0;0;0;0;0;1455617,84;586781,09;270532,44;0;0;0;0;0;598304,31;0;0;0;0;0;0;0;0;0;0;0;133951,98;0;0;0;0;133951,98;0;599548,77;0;0;599548,77;0;0;0;0;0;0;2098055,93;0;1733233,5;0;0;0;364822,43;2136271,63;0;1413964,73;21818,15;700488,75;3161203,89;0;0;3161203,89;0;0;0;0
11;5;RO;CEREJEIRAS;16784;20309751,56;929764,08;929764,08;0;0;0;0;0;0;0;0;0;0;6174671,83;0;5818609,9;356061,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;921976,43;30459,48;0;364982,68;526534,27;0;0;0;0;0;0;0;2757540,38;1438419,23;1252397,73;0;4730;61993,42;0;0;0;0;0;0;0;0;4751077,17;4348309,62;232513,32;0;0;146336,49;0;23917,74;0;80129,88;0;80129,88;0;0;0;0;0;0;1794920,29;1794920,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;717004,51;0;347268,88;0;0;369735,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1351653,56;0;1351653,56;0;0;0;0;265881,91;0;265881,91;0;0;565131,52;0;0;565131,52;0;0;0;0
11;6;RO;COLORADO DO OESTE;18216;16876724,25;728836,05;728836,05;0;0;0;0;0;0;0;0;0;0;4665240,03;380696,54;3024772,75;1259770,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409923,72;6790,39;14616,73;272385,07;116131,53;0;0;0;0;0;0;0;3618396,9;1430527,1;2069795,63;0;4996;49905,49;63172,68;0;0;0;0;0;0;0;4385066,65;3747799,94;0;0;0;637266,71;0;0;0;52006;0;52006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404802,75;4502,75;0;0;0;400300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15380,9;0;15380,9;0;0;0;1656740,5;0;1656740,5;0;0;0;0;261758,41;0;261758,41;0;0;678572,34;0;0;507730,54;0;0;170841,8;0
11;7;RO;CORUMBIARA;9761;10891316,3;499705,55;499705,55;0;0;0;0;0;0;0;0;0;0;2911084,76;0;2911084,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103328,86;4054,29;0;52278,71;46995,86;0;0;0;0;0;0;0;2572168,93;1755759,24;816409,69;0;0;0;0;0;0;0;0;0;0;0;3067105,62;3062018,2;0;0;0;5087,42;0;0;0;0;0;0;0;0;0;0;0;0;81100,74;0;81100,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79949,26;0;0;0;0;0;79949,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1335090,49;0;1335090,49;0;0;0;0;7467,67;0;7467,67;0;0;234314,42;0;0;234314,42;0;0;0;0
11;8;RO;COSTA MARQUES;13973;17213795,64;539727,12;539727,12;0;0;0;0;0;0;0;0;0;0;2997667,63;2997667,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173360,32;0;0;0;173360,32;0;0;0;0;100622,32;0;0;0;0;100622,32;0;0;0;0;0;0;3970474,46;0;0;0;0;0;0;3970474,46;0;0;0;0;0;0;6943937,59;0;0;0;0;0;0;0;6943937,59;0;0;0;0;0;0;0;0;0;72300;0;0;0;72300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373390,03;0;0;0;0;0;0;0;373390,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;518089,68;0;0;0;0;518089,68;1235570,76;0;0;0;0;0;1235570,76;78658;0;0;0;78658;209997,73;0;0;0;0;0;0;209997,73
11;9;RO;ESPIGAO D'OESTE;28617;35711541,15;1133968,21;1133968,21;0;0;0;0;0;0;0;0;0;0;9085337,1;437768,59;8171372,64;0;0;0;175228,28;0;0;0;0;300967,59;0;0;0;0;0;0;32169,7;0;32169,7;0;0;0;0;0;0;894554,59;65583,81;51991,42;353066,35;58425,1;365487,91;2036053,63;353694,2;432005,54;0;0;1250353,89;8666134,91;85470;7027855,09;0;8320;145696,58;0;1398793,24;0;0;0;0;0;0;7643968,25;6926638,34;0;0;0;704418,4;0;0;12911,51;693007,67;0;693007,67;0;0;0;0;0;0;2960352,15;2960352,15;0;0;0;138013,05;0;138013,05;0;0;0;0;0;10787,5;7987,5;0;2800;0;0;0;0;0;0;0;0;1262737,8;119953,22;0;0;0;181803,76;0;0;960980,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;348900;0;348900;0;0;0;0;692324,44;0;692324,44;0;0;113232,15;0;0;113232,15;0;0;0;0
11;10;RO;GUAJARA-MIRIM;40541;35448086,23;1638201,14;1638201,14;0;0;294447,4;282596,4;11851;0;0;0;0;0;16145069,57;118157,72;16021211,85;0;0;0;0;0;0;5700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;952569,72;385497,72;12000;421802,68;133269,32;0;0;0;0;0;0;0;4555482,41;2132236,21;2423246,2;0;0;0;0;0;411995,01;0;0;411995,01;0;0;8663875,84;7858427,94;0;0;0;805447,9;0;0;0;44641,2;0;44641,2;0;0;0;0;0;0;1294818,06;676549,19;618268,87;0;0;0;0;0;0;29400;0;29400;0;61212,49;58712,49;0;2500;0;0;0;0;0;0;0;0;95600,34;0;0;0;0;0;95600,34;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;3000;0;0;0;0;0;0;0;0;0;0;0;569940,04;0;569940,04;0;0;0;0;10300;0;10300;0;0;677533,01;0;0;0;0;0;677533,01;0
