CdUF;CdMun;UF;MUNICIPIO;Populacao;Despesas por Função;Legislativa;Ação Legislativa;Controle Externo;Demais Subfunções  1;Judiciária;Ação Judiciária;Defesa do Interesse Público;Demais Subfunções 2;Essencial à Justiça;Defesa da Ordem Jurídica;Representação Juridica;Demais Subfunções 3;Administração;Planejamento e Orçamento;Administração Geral;Administração Financeira;Controle Interno;Normatização e Fiscalização;Tecnologia da Informação;Ordenamento Territorial;Formação de Recursos Humanos;Administração de Receitas;Administração de Concessões;Comunicação Social;Demais Subfunções 4;Defesa Nacional;Defesa Aérea;Defesa Naval;Defesa Terrestre;Demais Subfunções 5;Segurança Pública;Policiamento;Defesa Civil;Informação e Inteligência;Demais Subfunções 6;Relações Exteriores;Relações Diplomáticas;Cooperação Internacional;Demais Subfunções 7;Assistência Social;Assistência ao Idoso;Assistência ao Deficiência;Assistência à Criança;Assistência Comunitária;Demais Subfunções 8;Previdência Social;Previdência Básica;Previdência do Regime Estatutário;Previdência Complementar;Previdência Especial;Demais Subfunções 9;Saúde;Atenção Básica;Assistência Hospitalar;Suporte Profilático;Vigilância Sanitária;Vigilância Epidemiológica;Alimentação e Nutrição;Demais Subfunções 10;Trabalho;Proteção ao Trabalhador;Relações de Trabalho;Empregabilidade;Fomento ao Trabalho;Demais Subfunções 11;Educação;Ensino Fundamental;Ensino Médio;Ensino Profissional;Ensino Superior;Educação Infantil;Educação de Jovens e Adultos;Educação Especial;Demais Subfunções 12;Cultura;Patrimônio Cultural;Difusão Cultural;Demais Subfunções 13;Direitos da Cidadania;Custódia e Reintegração Social;Direitos Humanos;Assistência Povos Indígenas;Demais Subfunções 14;Urbanismo;Infra-Estrutura Urbana;Serviços Urbanos;Transportes Coletivos Urbanos;Demais Subfunções 15;Habitação;Habitação Rural;Habitação Urbana;Demais Subfunções 16;Saneamento;Saneamento Básico Rural;Saneamento Básico Urbano;Demais Subfunções 17;Gestão Ambiental;Preservação Ambiental;Controle Ambiental;Recuperação Areas Degradadas;Recursos Hídricos;Meteorologia;Demais Subfunções 18;Ciência e Tecnologia;Desenvolvimento Científico;Desenvolvimento Tecnológico;Difusão do Conhecimento Científico;Demais Subfunções 19;Agricultura;Promoção da Produção Vegetal;Promoção da Produção Animal;Defesa Sanitária Vegetal;Defesa Sanitária Animal;Abastecimento;Extensão Rural;Irrigação;Demais Subfunções 20;Organização Agrária;Reforma Agrária;Colonização;Demais Subfunções 21;Indústria;Promoção Industrial;Produção Industrial;Mineração;Propriedade Industrial;Normalização e Qualidade;Demais Subfunções 22;Comércio e Serviços;Promoção Comercial;Comercialização;Comércio Exterior;Serviços Financeiros;Turismo;Demais Subfunções 23;Comunicações;Comunicações Postais;Telecomunicações;Demais Subfunções 24;Energia;Conservação de Energia;Energia Elétrica;Petróleo;Álcool;Demais Subfunções 25;Transporte;Transporte Aéreo;Transporte Rodoviário;Transporte Ferroviário;Transporte Hidroviário;Transportes Especiais;Demais Subfunções 26;Desporto e Lazer;Desporto de Rendimento;Desporto Comunitário;Lazer;Demais Subfunções 27;Encargos Especiais;Refinanciamento da Dívida Interna;Refinanciamento da Dívida Externa;Serviço da Dívida Interna;Serviço da Dívida Externa;Transferências;Outros Encargos Especiais;Demais Subfunções 28;Desp por Função Intra-Orçamentária;Total Geral da Despesa por Função
12;1;AC;Acrelândia;12779;20606675,84;503211,79;503211,79;0;0;0;0;0;0;0;0;0;0;3828795,72;52479,13;2559324,96;1192506,18;0;0;22200;0;2285,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;710885,93;12397,08;4087,56;142839,09;551015,95;546,25;0;0;0;0;0;0;4816135,33;0;4737476,69;0;78658,64;0;0;0;0;0;0;0;0;0;8329198,26;7992495,6;0;0;0;9574,1;0;0;327128,56;0;0;0;0;0;0;0;0;0;276685,64;14787,3;261898,34;0;0;200740,69;0;200740,69;0;5840;0;0;5840;15356,67;0;15356,67;0;0;0;0;0;0;0;0;0;872255,47;857858,66;0;0;0;0;14396,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22285,84;22285,84;0;0;0;0;0;0;0;0;468133,63;0;468133,63;0;0;0;0;530297,33;0;530297,33;0;0;26853,54;0;0;26853,54;0;0;0;0;0;20606675,84
12;5;AC;Assis Brasil;6192;13377945,38;399000;399000;0;0;0;0;0;0;0;0;0;0;3474866,47;0;3271934,82;202931,65;0;0;0;0;0;0;0;0;0;20288,8;0;0;20288,8;0;0;0;0;0;0;0;0;0;0;517135,31;0;0;296371,43;3505;217258,88;0;0;0;0;0;0;3319189,31;3078760,36;228795,04;0;0;11633,91;0;0;0;0;0;0;0;0;4587246,29;4579527,76;0;0;0;7718,53;0;0;0;19000;9000;10000;0;0;0;0;0;0;502527,32;146309,56;356217,76;0;0;0;0;0;0;0;0;0;0;78599,4;0;78599,4;0;0;0;0;0;0;0;0;0;144563,5;144563,5;0;0;0;0;0;0;0;0;0;0;0;28048,26;0;0;0;0;0;28048,26;48345,05;0;0;0;0;0;48345,05;0;0;0;0;0;0;0;0;0;0;239135,67;0;239135,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13377945,38
12;10;AC;Brasiléia;21837;30979247,13;916096,45;916096,45;0;0;0;0;0;0;0;0;0;0;6911779,97;0;5773848,86;1137931,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1110869,29;348082,52;0;260146,8;502639,97;0;117187,98;117187,98;0;0;0;0;5148939,14;4615036,66;533902,48;0;0;0;0;0;0;0;0;0;0;0;10585531,27;9109602,08;88860;0;1387069,19;0;0;0;0;0;0;0;0;0;0;0;0;0;3234661,63;2796321,51;438340,12;0;0;623503,76;0;623503,76;0;451450,44;0;451450,44;0;0;0;0;0;0;0;0;0;0;0;0;0;948482,37;0;948482,37;0;0;0;0;0;0;0;0;0;0;8035,14;8035,14;0;0;0;0;0;188000;188000;0;0;0;0;0;0;0;0;0;71054,78;0;71054,78;0;0;0;138397,06;0;138397,06;0;0;0;0;525257,85;0;517461,15;7796,7;0;0;0;0;0;0;0;0;0;0;30979247,13
12;13;AC;Bujari;8629;12021748,08;373717,34;373717,34;0;0;0;0;0;0;0;0;0;0;1854854,95;0;1836931,95;0;0;0;17923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;516253,29;9631,89;540,64;141934,53;103666,42;260479,81;0;0;0;0;0;0;1887961,85;481144,48;834417,49;12773;0;23774,51;0;535852,37;0;0;0;0;0;0;4399204,22;3944620,12;0;0;0;306344,15;0;0;148239,95;0;0;0;0;0;0;0;0;0;492976,05;2213,3;378537,01;0;112225,74;0;0;0;0;31,2;0;31,2;0;0;0;0;0;0;0;0;0;0;0;0;0;1016750,41;905838,3;0;0;0;0;0;0;110912,11;0;0;0;0;142039,37;0;142039,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;571296,17;0;571296,17;0;0;0;0;572539,59;0;407266,47;142182,3;23090,82;194123,64;0;0;194123,64;0;0;0;0;0;12021748,08
12;17;AC;Capixaba;9088;11443540,89;385579,73;385579,73;0;0;0;0;0;0;0;0;0;0;3015586,16;0;2931996,61;0;0;1882;0;0;0;0;0;0;81707,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333006,25;0;0;161867,24;171139,01;0;59513,22;59513,22;0;0;0;0;2096533,21;1585395,1;510162,36;0;975,75;0;0;0;0;0;0;0;0;0;5237955,6;5142104,27;0;0;0;95851,33;0;0;0;0;0;0;0;0;0;0;0;0;60128;2945;41538;15645;0;0;0;0;0;190;0;190;0;33120,51;33120,51;0;0;0;0;0;0;0;0;0;0;80046,07;6315,56;73730,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107970,61;0;107970,61;0;0;0;0;33911,53;0;33911,53;0;0;0;0;0;0;0;0;0;0;0;11443540,89
12;20;AC;Cruzeiro do Sul;79174;81976996,88;2680000;2680000;0;0;47418,91;0;0;47418,91;0;0;0;0;12405085,39;0;10682558,01;1351648,45;0;0;0;0;0;0;0;370878,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3085982,96;189368,31;122219,1;1051482,14;1541126,07;181787,34;767607;337159,28;0;0;0;430447,72;17362399,71;15316981,93;836903,36;0;118551,72;182003,34;0;907959,36;0;0;0;0;0;0;27884627,01;25666365,17;0;0;0;1279647,92;0;37000;901613,92;177452,13;364;177088,13;0;0;0;0;0;0;12337902,15;4906388,77;173348,96;1928200,29;5329964,13;0;0;0;0;11973,8;0;0;11973,8;4176;0;0;0;0;0;4176;0;0;0;0;0;1429402,93;483500;0;0;10954;765368;0;0;169580,93;0;0;0;0;0;0;0;0;0;0;0;107711,69;0;107711,69;0;0;0;0;0;0;0;0;160672,1;0;160672,1;0;0;0;636443,04;0;636443,04;0;0;0;0;1748842,66;0;0;0;1748842,66;1129299,4;0;0;1129299,4;0;0;0;0;0;81976996,88
12;25;AC;Epitaciolândia;15394;19038549,65;595253,81;595253,81;0;0;0;0;0;0;0;0;0;0;3236853,36;0;1327906,77;351148,42;0;0;0;0;0;0;0;0;1557798,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719396,67;3072,77;0;26349;689974,9;0;0;0;0;0;0;0;3700192,23;2046548,92;208419,13;0;1445224,18;0;0;0;0;0;0;0;0;0;7832465,72;7108947,78;0;0;0;526058,93;0;0;197459,01;66868,87;0;66868,87;0;0;0;0;0;0;214906,33;23950;190956,33;0;0;191921,7;0;191921,7;0;22895,16;0;22895,16;0;392050,46;392050,46;0;0;0;0;0;0;0;0;0;0;1066449,47;410000;165831;0;0;80302,72;0;0;410315,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714587,16;0;714587,16;0;0;0;0;284708,71;0;284708,71;0;0;0;0;0;0;0;0;0;0;0;19038549,65
12;30;AC;Feijó;32487;35541181,85;1404166,33;1404166,33;0;0;0;0;0;0;0;0;0;0;6241984,61;0;5015080,55;1226904,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1096205,98;0;0;1096205,98;0;0;140080,54;140080,54;0;0;0;0;5957247,83;1525870,49;4010018,41;0;58141,22;363217,71;0;0;0;0;0;0;0;0;16119977,49;16042241,89;0;0;0;77735,6;0;0;0;1225127,04;0;1225127,04;0;1107978,04;0;0;1107978,04;0;1256669,19;194456,95;1062212,24;0;0;0;0;0;0;0;0;0;0;133835,85;133835,85;0;0;0;0;0;0;0;0;0;0;719709,18;250559,42;4000;0;0;465149,76;0;0;0;0;0;0;0;60747,95;0;60747,95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77451,82;0;77451,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35541181,85
12;32;AC;Jordão;6740;15808514,56;408900;408900;0;0;0;0;0;0;0;0;0;0;3019638,86;0;2778087,8;241551,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449669,44;0;0;70944,43;378725,01;0;67077,72;0;0;0;67077,72;0;2781145,69;1640789,57;0;167858,21;158178,36;0;814319,55;0;0;0;0;0;0;0;8380290,5;8170078,81;0;0;0;12211,69;0;0;198000;88318,58;0;88318,58;0;36285;0;0;36285;0;187665,88;0;187665,88;0;0;50002;0;50002;0;149958,92;0;149958,92;0;32116;32116;0;0;0;0;0;0;0;0;0;0;21445,97;0;0;0;0;21445,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136000;0;126000;0;10000;0;0;0;0;0;0;0;0;0;15808514,56
12;33;AC;Mâncio Lima;15554;22461920,58;619992;619992;0;0;0;0;0;0;0;0;0;0;4880443,75;0;4805439,42;75004,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1196762,61;18391,83;0;242542,73;865527,02;70301,03;101610,86;0;0;101610,86;0;0;4729976,33;3294348,39;30320,77;0;4207,73;308699,71;0;1092399,73;0;0;0;0;0;0;9380546,61;8596918,23;0;0;0;487090,18;70888,43;0;225649,77;130378,47;0;130378,47;0;0;0;0;0;0;139438,93;139438,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;671359,66;671359,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;578552,47;0;578552,47;0;0;32858,89;0;0;32858,89;0;0;0;0;0;22461920,58
