"codigo_ibge";"municipio";"anos_recebendo_royalties";"valor_acumulado_defl_2020";"media_anual_defl_2020"
1505064;"Novo Repartimento";11;440445699,1;40040518,1
1100205;"Porto Velho";7;312783892,72;44683413,25
1508100;"Tucuruí";11;184958015,02;16814365
1503093;"Goianésia do Pará";11;167718173,34;15247106,67
1503804;"Jacundá";11;99840548,44;9076413,49
1501782;"Breu Branco";11;73158389,55;6650762,69
1718204;"Porto Nacional";11;53012120,35;4819283,67
5104609;"Itiquira";11;48240040,85;4385458,26
1503705;"Itupiranga";11;43111361,06;3919214,64
1500602;"Altamira";3;39858298,5;13286099,5
5106299;"Paranaíta";3;39791100,83;13263700,28
1716208;"Paranã";11;39070024,85;3551820,44
1508357;"Vitória do Xingu";3;38552538,7;12850846,23
1303536;"Presidente Figueiredo";11;36349593,33;3304508,48
1504976;"Nova Ipixuna";11;33623117,81;3056647,07
1600238;"Ferreira Gomes";11;30147607,88;2740691,63
1721000;"Palmas";11;26921970,26;2447451,84
2102804;"Carolina";8;23370120,13;2921265,02
5101407;"Aripuanã";7;21914663,25;3130666,18
5103007;"Chapada dos Guimarães";11;20291978,5;1844725,32
