"municipio";"state";"anos_recebendo_royalties";"valor_acumulado_defl_2020";"media_anual_defl_2020";"obitos_100_mil_ha";"class_obit_100_mil_ha"
"Parauapebas";"PA";11;3533434140,23;321221285,48;218,189309660261;"Médio Alto"
"Canaã dos Carajás";"PA";11;515429623,98;46857238,54;314,935831824266;"Alto"
"Marabá";"PA";11;325988056,93;29635277,9;158,001283760431;"Médio Baixo"
"Oriximiná";"PA";11;219351756,4;19941068,76;182,392996108949;"Médio Baixo"
"Paragominas";"PA";11;194937646,23;17721604,2;209,601495157332;"Médio Alto"
"Juruti";"PA";9;96037225,42;10670802,82;290,027137042062;"Alto"
"Ipixuna do Pará";"PA";11;90314259,42;8210387,22;68,5714285714286;"Baixo"
"Pedra Branca do Amapari";"AP";11;79391130,65;7217375,51;76,1703872971231;"Baixo"
"Terra Santa";"PA";5;52533414,05;10506682,81;280,171274514987;"Alto"
"Presidente Figueiredo";"AM";11;50806917,72;4618810,7;274,245153657946;"Alto"
"Curionópolis";"PA";5;33210393,75;6642078,75;190,518883783481;"Médio Alto"
"Nobres";"MT";11;28889486;2626316,91;417,373157688796;"Muito Alto"
"Vitória do Jari";"AP";11;28739942,39;2612722,04;172,265288544358;"Médio Baixo"
"Itaituba";"PA";11;19964540,76;1814958,25;315,597416046156;"Alto"
"Vila Bela da Santíssima Trindade";"MT";11;18952179,6;1722925,42;331,878802777948;"Alto"
"São Félix do Xingu";"PA";10;15028087,57;1502808,76;31,0281675218332;"Muito Baixo"
"Ariquemes";"RO";11;11586813,89;1053346,72;447,394611177561;"Muito Alto"
"Floresta do Araguaia";"PA";9;11126397,83;1236266,43;121,802679658952;"Médio Baixo"
"Porto Velho";"RO";11;11038887,91;1003535,26;463,702874179111;"Muito Alto"
"Godofredo Viana";"MA";9;9479993,86;1053332,65;41,7955362367299;"Muito Baixo"
