"codigo_ibge";"municipio";"anos_recebendo_royalties";"valor_acumulado_defl_2020";"media_anual_defl_2020"
1505536;"Parauapebas";11;3533434140,23;321221285,48
1502152;"Canaã dos Carajás";11;515429623,98;46857238,54
1504208;"Marabá";11;325988056,93;29635277,9
1505304;"Oriximiná";11;219351756,4;19941068,76
1505502;"Paragominas";11;194937646,23;17721604,2
1503903;"Juruti";9;96037225,42;10670802,82
1503457;"Ipixuna do Pará";11;90314259,42;8210387,22
1600154;"Pedra Branca do Amapari";11;79391130,65;7217375,51
1507979;"Terra Santa";5;52533414,05;10506682,81
1303536;"Presidente Figueiredo";11;50806917,72;4618810,7
1502772;"Curionópolis";5;33210393,75;6642078,75
5105903;"Nobres";11;28889486;2626316,91
1600808;"Vitória do Jari";11;28739942,39;2612722,04
1503606;"Itaituba";11;19964540,76;1814958,25
5105507;"Vila Bela da Santíssima Trindade";11;18952179,6;1722925,42
1507300;"São Félix do Xingu";10;15028087,57;1502808,76
1100023;"Ariquemes";11;11586813,89;1053346,72
1503044;"Floresta do Araguaia";9;11126397,83;1236266,43
1100205;"Porto Velho";11;11038887,91;1003535,26
2104305;"Godofredo Viana";9;9479993,86;1053332,65
