"muni";"codufmun";"estab_2008";"estab_2018";"estab_saldo";"leitos_2008";"leitos_2018";"leitos_saldo";"medic_2008";"medic_2018";"medic_saldo"
"Presidente Figueiredo (AM)";"130353";2;1;-1;122;88;-34;200,204129700872;158,406879384476;-41,7972503163954
"Porto Velho (RO)";"110020";11;16;5;228;262;34;316,468214723684;429,425770550747;112,957555827063
"Altamira (PA)";"150060";4;2;-2;358;162;-196;151,79364325396;188,170855603163;36,3772123492026
"Breu Branco (PA)";"150178";1;1;0;40;70;30;33,7301587301587;37,0725076462047;3,34234891604596
"Goianésia do Pará (PA)";"150309";2;1;-1;238;60;-178;59,4759122555365;55,1973304563816;-4,27858179915494
"Itupiranga (PA)";"150370";2;1;-1;125;100;-25;33,0719077766229;45,1280508442706;12,0561430676477
"Jacundá (PA)";"150380";3;2;-1;204;125;-79;60,5360189312641;70,1370237952683;9,60100486400421
"Novo Repartimento (PA)";"150506";1;1;0;103;75;-28;42,1971893002605;48,256078925498;6,05888962523745
"Tucuruí (PA)";"150810";4;3;-1;148;210;62;202,093260721579;181,010807147698;-21,0824535738816
"Ferreira Gomes (AP)";"160023";1;1;0;245;158;-87;56,5930956423316;92,2144644974312;35,6213688550995
"Carolina (MA)";"210280";2;2;0;211;222;11;115,266902500099;69,8524879812631;-45,4144145188363
"Paranã (TO)";"171620";1;1;0;241;239;-2;37,0576246062627;95,5931555300641;58,5355309238013
"Porto Nacional (TO)";"171820";2;3;1;236;328;92;261,813811751577;333,965844402277;72,1520326506998
"Palmas (TO)";"172100";5;7;2;184;211;27;454,856695686198;460,502646862312;5,64595117611401
"Aripuanã (MT)";"510140";1;1;0;151;150;-1;65,2282990466633;72,7702733433392;7,54197429667592
"Chapada dos Guimarães (MT)";"510300";1;1;0;222;179;-43;139,058849705195;96,9981621400858;-42,0606875651095
"Itiquira (MT)";"510460";1;2;1;150;273;123;126,22278321237;182,329256248576;56,1064730362057
"Paranaíta (MT)";"510629";1;1;0;159;295;136;150,627615062762;187,617260787993;36,989645725231
"Nova Ipixuna (PA)";"150497";0;1;1;0;85;85;60,7779578606159;72,7316807079217;11,9537228473058
"Vitória do Xingu (PA)";"150835";0;1;1;0;214;214;61,1683148129269;146,793888036298;85,6255732233712
