"muni";"qtd_matriculas_2009";"qtd_matriculas_2018";"matr_100_mil_2009";"matr_100_mil_2018";"qtd_escolas_2009";"qtd_escolas_2018";"escol_100_mil_2009";"escol_100_mil_2018";"saldo_matr_100_mil_hab";"saldo_escola_100_mil_hab"
"Presidente Figueiredo (AM)";10916;11876;41534;33594;30;32;114;91;-7940;-23
"Ferreira Gomes (AP)";1906;2560;34813;33724;11;14;201;184;-1089;-17
"Carolina (MA)";7306;8389;28927;34470;66;51;261;210;5543;-51
"Aripuanã (MT)";7772;5378;37892;24460;17;18;83;82;-13432;-1
"Chapada dos Guimarães (MT)";5194;4356;28554;22238;21;19;115;97;-6316;-18
"Itiquira (MT)";3395;3419;26071;25974;10;10;77;76;-97;-1
"Paranaíta (MT)";2900;2852;23941;25480;22;10;182;89;1539;-93
"Altamira (PA)";30368;29531;30752;26089;130;135;132;119;-4663;-13
"Breu Branco (PA)";17255;14892;33056;23003;36;34;69;53;-10053;-16
"Goianésia do Pará (PA)";11862;9159;40673;22980;50;48;171;120;-17693;-51
"Itupiranga (PA)";17294;15045;41631;28290;134;93;323;175;-13341;-148
"Jacundá (PA)";16074;12519;28755;21416;52;42;93;72;-7339;-21
"Nova Ipixuna (PA)";4169;4002;27615;24256;33;20;219;121;-3359;-98
"Novo Repartimento (PA)";21036;19064;37725;25554;187;122;335;164;-12171;-171
"Tucuruí (PA)";31172;28701;32467;25592;57;54;59;48;-6875;-11
"Vitória do Xingu (PA)";3412;5754;35306;38393;36;24;373;160;3087;-213
"Porto Velho (RO)";124483;114639;32517;22066;229;227;60;44;-10451;-16
"Paranã (TO)";3671;3135;33915;29968;50;24;462;229;-3947;-233
"Porto Nacional (TO)";14747;15488;31563;29389;53;46;113;87;-2174;-26
"Palmas (TO)";58435;65005;30976;22273;84;107;45;37;-8703;-8
