"cod_muni";"muni";"qtd_matriculas_2009";"qtd_escolas_2009";"populacao_2009";"matr_100_mil_2009";"escol_100_mil_2009";"qtd_matriculas_2018";"qtd_escolas_2018";"populacao_2018";"matr_100_mil_2018";"escol_100_mil_2018";"saldo_matr_100_mil_hab";"saldo_escola_100_mil_hab";"docentes_2009";"docentes_2018";"docentes_100_mil_hab_2009";"docentes_100_mil_hab_2018";"saldo_docentes_100_mil_hab"
1303536;"Presidente Figueiredo (AM)";10916;30;26282;41534;114;11876;32;35352;33594;91;-7940;-23;1484;2708;5646,45004185374;7660,10409594931;2013,65405409557
1600238;"Ferreira Gomes (AP)";1906;11;5475;34813;201;2560;14;7591;33724;184;-1089;-17;440;679;8036,5296803653;8944,80305625082;908,273375885527
2102804;"Carolina (MA)";7306;66;25257;28927;261;8389;51;24337;34470;210;5543;-51;963;1290;3812,80437106545;5300,57114681349;1487,76677574805
5101407;"Aripuanã (MT)";7772;17;20511;37892;83;5378;18;21987;24460;82;-13432;-1;1471;1333;7171,76149383258;6062,67339791695;-1109,08809591563
5103007;"Chapada dos Guimarães (MT)";5194;21;18190;28554;115;4356;19;19588;22238;97;-6316;-18;944;1039;5189,66465090709;5304,26791913416;114,603268227072
5104609;"Itiquira (MT)";3395;10;13022;26071;77;3419;10;13163;25974;76;-97;-1;776;758;5959,14606051298;5758,56567651751;-200,580383995467
5106299;"Paranaíta (MT)";2900;22;12113;23941;182;2852;10;11193;25480;89;1539;-93;544;512;4491,04268141666;4574,28750111677;83,2448197001104
1500602;"Altamira (PA)";30368;130;98750;30752;132;29531;135;113195;26089;119;-4663;-13;5345;5787;5412,6582278481;5112,41662617607;-300,241601672034
1501782;"Breu Branco (PA)";17255;36;52200;33056;69;14892;34;64738;23003;53;-10053;-16;2821;3268;5404,21455938697;5048,03979115821;-356,174768228766
1503093;"Goianésia do Pará (PA)";11862;50;29164;40673;171;9159;48;39857;22980;120;-17693;-51;1867;1675;6401,72815800302;4202,5240233836;-2199,20413461942
1503705;"Itupiranga (PA)";17294;134;41541;41631;323;15045;93;53182;28290;175;-13341;-148;1818;2883;4376,39922004766;5421,00710766801;1044,60788762034
1503804;"Jacundá (PA)";16074;52;55900;28755;93;12519;42;58457;21416;72;-7339;-21;2261;2732;4044,72271914132;4673,52070752861;628,797988387287
1504976;"Nova Ipixuna (PA)";4169;33;15097;27615;219;4002;20;16499;24256;121;-3359;-98;580;771;3841,82287871763;4673,01048548397;831,187606766342
1505064;"Novo Repartimento (PA)";21036;187;55762;37725;335;19064;122;74602;25554;164;-12171;-171;2981;3419;5345,93450737061;4582,98705128549;-762,947456085122
1508100;"Tucuruí (PA)";31172;57;96010;32467;59;28701;54;112148;25592;48;-6875;-11;5567;8262;5798,35433808978;7367,050683026;1568,69634493622
1508357;"Vitória do Xingu (PA)";3412;36;9664;35306;373;5754;24;14987;38393;160;3087;-213;655;964;6777,73178807947;6432,24127577234;-345,490512307134
1100205;"Porto Velho (RO)";124483;229;382829;32517;60;114639;227;519531;22066;44;-10451;-16;21980;23106;5741,4668167772;4447,47281682902;-1293,99399994818
1716208;"Paranã (TO)";3671;50;10824;33915;462;3135;24;10461;29968;229;-3947;-233;723;636;6679,60088691796;6079,72469171207;-599,876195205888
1718204;"Porto Nacional (TO)";14747;53;46722;31563;113;15488;46;52700;29389;87;-2174;-26;2933;3155;6277,55661144643;5986,71726755218;-290,839343894245
1721000;"Palmas (TO)";58435;84;188645;30976;45;65005;107;291855;22273;37;-8703;-8;12885;16866;6830,28969758011;5778,89705504446;-1051,39264253565
